# mount_va	size	ctor	fn	boot链	note
0x14332f060	64	sub_140AB90D0	sub_1401737A0	L1	-
0x14332f068	-	-	sub_14018BB20	L0	-
0x14332f070	120	sub_140ABB910	sub_140A5AEC0	other	-
0x14332f078	-	-	sub_14018BB20	L0	-
0x14332f080	120	sub_140ABFD90	sub_140A5AEC0	other	-
0x14332f088	-	-	sub_14018BB20	L0	-
0x14332f090	312	sub_140AC2AD0	sub_14018BB20	L0	-
0x14332f098	88	sub_140AC6560	sub_140173A60	L1	-
0x14332f0a0	264	sub_140ACA4A0	sub_1401739C0	L1	-
0x14332f0a8	160	sub_140AD5920	sub_14018BB20	L0	-
0x14332f0b0	120	sub_1402AD780	sub_140173B00	L1	-
0x14332f0b8	72	sub_140AD6F00	sub_140173BA0	L1	-
0x14332f0c0	224	sub_140ADE8C0	sub_140173DC0	L1	-
0x14332f0c8	88	sub_140AE1830	sub_140173F00	L1	-
0x14332f0d0	1056	sub_140AE3250	sub_140173E60	L1	-
0x14332f0d8	88	sub_140AEEE50	sub_140173FA0	L1	-
0x14332f0e0	-	sub_140B8F390	sub_140B8F390	other	self-register
0x14332f1e8	-	-	sub_1401452E0	L2	-
0x14332f1f0	-	-	sub_1401453F0	other	-
0x14332f248	-	sub_1401AED90	sub_1401AED90	other	self-register
0x14332f260	2624	sub_1401BF930	sub_1401D2CD0	other	-
0x14332f270	-	sub_1424CC210	sub_14026A130	other	-
0x14332f2a8	152	-	sub_140001380	other	-
0x14332f330	-	-	sub_1419AA9F0	other	-
0x14332f338	-	-	sub_1419AA9F0	other	-
0x14332f33c	-	-	sub_140E840C0	other	-
0x14332f350	-	-	sub_14067C250	L2	-
0x14332f368	-	-	sub_140A0E770	other	-
0x14332f370	-	-	sub_140A0E770	other	-
0x14332f374	-	-	sub_140A0E770	other	-
0x14332f408	968	sub_1401F9A60	sub_1401FA7E0	other	-
0x14332f44c	-	-	sub_1402168D0	other	-
0x14332f498	-	-	sub_140221770	other	-
0x14332f4b0	-	-	sub_140295830	other	-
0x14332f510	-	sub_1410867D0	sub_14025E2B0	other	-
0x14332f528	-	-	sub_140A459B0	L1	-
0x14332f538	-	-	sub_140298E40	other	-
0x14332f590	-	-	sub_14022A580	other	-
0x14332f5a8	-	-	sub_140A0F6F0	other	-
0x14332f5b0	-	-	sub_140A0F6F0	other	-
0x14332f5b4	-	-	sub_140A0F6F0	other	-
0x14332f5c0	-	-	sub_141104690	other	-
0x14332f5c8	-	-	sub_141104690	other	-
0x14332f5cc	-	sub_1410FC5F0	sub_141104690	other	-
0x14332f650	-	sub_140BB5490	sub_14024ABC0	other	-
0x14332f664	-	sub_1424CC210	sub_140285B20	other	-
0x14332f688	-	-	sub_140283860	other	-
0x14332f698	-	sub_1402A2A10	sub_1402A2A10	other	self-register
0x14332f6a0	-	sub_1402A2A30	sub_1402A2A30	other	self-register
0x14332f6e0	-	-	sub_1402A44A0	other	-
0x14332f6e8	-	-	sub_1402A44A0	other	-
0x14332f968	88	sub_1413C3EA0	sub_140A5AEC0	other	-
0x14332f990	-	-	sub_140ACA4A0	L2	-
0x14332fb10	-	-	sub_140A3F6E0	L1	-
0x14332ffc0	112	-	sub_140536660	other	-
0x143330000	-	-	sub_14053D840	other	-
0x143330050	-	-	sub_14054CEA0	L2	-
0x143330098	-	-	sub_140558710	L1	-
0x1433300a0	-	-	sub_14018BB20	L0	-
0x1433300b0	-	-	sub_14060C290	L2	-
0x1433300b8	-	-	sub_14060C290	L2	-
0x1433300bc	-	-	sub_14060C290	L2	-
0x143330368	-	-	sub_140558710	L1	-
0x143330440	-	-	sub_140612DC0	L2	-
0x143330450	-	-	sub_1406147F0	L1	-
0x143330460	-	-	sub_14061CD20	other	-
0x143330478	-	-	sub_140622A00	L2	-
0x143330480	-	-	sub_140622A00	L2	-
0x1433304a8	-	-	sub_14002F9F0	other	-
0x1433304e0	-	-	sub_140643870	other	-
0x1433304e8	-	-	sub_140645350	L2	-
0x143330528	-	-	sub_14066C530	L1	-
0x143330530	-	-	sub_14066C530	L1	-
0x143330534	-	-	sub_14066C530	L1	-
0x143330540	-	-	sub_14066ECD0	L1	-
0x143330548	120	sub_14066D4F0	sub_140670000	other	-
0x143330688	-	-	sub_140B8F390	other	-
0x143330690	-	-	sub_140A481D0	L2	-
0x1433306a0	-	-	sub_140681090	L1	-
0x1433306a8	-	-	sub_140681090	L1	-
0x143330b70	-	sub_1401C1260	sub_14002FC30	other	-
0x143330b88	-	-	sub_1406AAE10	L2	-
0x143330ba0	-	-	sub_1406AF690	L2	-
0x143330c60	-	-	sub_1406BB370	L1	-
0x143330c68	-	-	sub_1406BB370	L1	-
0x143330c70	-	-	sub_1406BB370	L1	-
0x143330c78	-	-	sub_1406BB370	L1	-
0x143330c88	376	-	sub_1406C0710	L2	-
0x143330c90	-	-	sub_1406BDB00	L1	-
0x143330ca8	32	-	sub_14002FF30	other	-
0x143330d98	144	sub_14071B2A0	sub_14071BB60	L1	-
0x143330da8	-	-	sub_14071D4F0	L2	-
0x143330db8	80	-	sub_140720410	L2	-
0x143330dc0	176	-	sub_140721960	L1	-
0x143330dc8	-	-	sub_1407217F0	L1	-
0x143330dd8	-	-	sub_1407238C0	L2	-
0x143330de8	-	-	sub_140E550F0	other	-
0x143330df8	-	-	sub_1407238C0	L2	-
0x143332240	-	-	sub_1408FA680	other	-
0x143332330	-	-	sub_1408FB2B0	other	-
0x1433386c0	-	-	sub_14083F6E0	other	-
0x1433386c8	-	-	sub_14083F6E0	other	-
0x143338e20	-	-	sub_1408A2A80	other	-
0x143338e28	-	-	sub_1408A2A80	other	-
0x1433390b8	-	-	sub_140D05260	other	-
0x1433390c0	-	-	sub_140D05260	other	-
0x143339af8	-	-	sub_14167D5A0	other	-
0x143339b00	-	-	sub_14167D5A0	other	-
0x143339b04	-	-	sub_14167D820	other	-
0x143339b18	-	-	sub_1409B8140	L2	-
0x143339b40	-	-	sub_1409CA7E0	L2	-
0x143339b68	152	-	sub_140069A80	other	-
0x143339ba0	-	-	sub_140ABB910	other	-
0x143339ba8	-	-	sub_1413C3EA0	other	-
0x143339bd8	56	sub_1409E6D80	sub_1409E75A0	other	-
0x143339be8	-	-	sub_1409EF930	L1	-
0x143339bf0	-	-	sub_1409EF930	L1	-
0x143339bf8	-	-	sub_1409EF930	L1	-
0x143339c20	224	sub_140A0CDB0	sub_140A0D9A0	other	-
0x143339c70	680	sub_14153C530	sub_140A31BB0	other	-
0x143339ca0	-	-	sub_140A39A70	L1	-
0x143339cb0	-	-	sub_140A3C160	other	-
0x143339cb8	-	-	sub_140A3BF90	other	-
0x143339cc0	-	-	sub_140A3CF40	L1	-
0x143339cd8	-	-	sub_140A3F6E0	L1	-
0x143339ce0	-	-	sub_140A3F6E0	L1	-
0x143339ce8	-	-	sub_140A3F6E0	L1	-
0x143339d00	-	-	sub_140A459B0	L1	-
0x143339d28	2112	sub_140A5AEC0	sub_140A5F140	other	-
0x143339d30	-	sub_140A5F140	sub_140A5F140	other	self-register
0x143339d40	-	-	sub_140A5EF90	other	-
0x143339d48	-	-	sub_140A5EF90	other	-
0x143339d4c	-	-	sub_140A62C50	other	-
0x143339d58	-	-	sub_140A62C50	other	-
0x143339d60	-	-	sub_140A62C50	other	-
0x143339d64	-	-	sub_140A62C50	other	-
0x143339d70	-	-	sub_140A62C50	other	-
0x143339d78	-	-	sub_140A62C50	other	-
0x143339d7c	-	-	sub_140A62C50	other	-
0x143339d88	-	-	sub_140A5EF90	other	-
0x143339d90	-	-	sub_140A5EF90	other	-
0x143339d94	-	-	sub_140A62C50	other	-
0x143339da0	-	-	sub_140A62C50	other	-
0x143339da8	-	-	sub_140A62C50	other	-
0x143339dac	-	-	sub_140A62C50	other	-
0x143339de8	32	-	sub_14006B400	other	-
0x143339e08	32	-	sub_14006B3B0	other	-
0x143339e30	-	-	sub_140A64720	L2	-
0x143339e48	16	-	sub_140A66B80	other	-
0x143339e58	-	-	sub_140A67A20	L2	-
0x143339e60	-	-	sub_140A67A20	L2	-
0x143339e80	-	-	sub_140A75A40	other	-
0x143339eb8	-	-	sub_140A803A0	L1	-
0x14333a068	-	-	sub_140A8B3C0	L2	-
0x14333a070	-	-	sub_140A8B3C0	L2	-
0x14333a078	-	-	sub_140A8B3C0	L2	-
0x14333a0b0	-	-	sub_140AB5880	L1	-
0x14333a0c0	-	-	sub_140ABB910	other	-
0x14333a0d8	-	-	sub_140ABFD90	other	-
0x14333a0e8	-	-	sub_140AC1AB0	L1	-
0x14333a100	32	-	sub_14006C400	other	-
0x14333a120	32	-	sub_14006C370	other	-
0x14333a208	-	-	sub_140AC4570	L1	-
0x14333a210	-	-	sub_140AC4570	L1	-
0x14333a228	-	-	sub_140ACA4A0	L2	-
0x14333a248	-	-	sub_140AD5920	L1	-
0x14333a250	-	-	sub_140AD5920	L1	-
0x14333a278	-	-	sub_140AE1830	L2	-
0x14333a288	-	-	sub_140AE3250	L2	-
0x14333a2a8	-	-	sub_140AE3250	L2	-
0x14333a2c0	32	-	sub_14006CB00	other	-
0x14333c1a8	-	-	sub_140B394B0	other	-
0x14333c1d0	-	sub_140B3FEB0	sub_140B3FEB0	other	self-register
0x14333c218	-	-	sub_140B58470	other	-
0x14333c220	-	sub_140B4F9C0	sub_140B4F9C0	other	self-register
0x14333c590	-	-	sub_140B6F840	other	-
0x14333c598	-	-	sub_140B6F840	other	-
0x14333c5a8	1952	sub_140B712C0	sub_140B71AF0	other	-
0x14333c5c0	-	-	sub_140B74590	L2	-
0x14333c5e8	-	-	sub_140B8EEC0	other	-
0x14333c5f8	-	-	sub_140B8F390	other	-
0x14333c6e0	-	-	sub_140B74590	L2	-
0x14333c6e8	-	-	sub_140B74590	L2	-
0x14333c6f0	-	-	sub_140B74590	L2	-
0x14333c77c	-	-	sub_140BA1D20	other	-
0x14333ca00	-	-	sub_140C59380	other	-
0x14333ca60	48	-	sub_1400727A0	other	-
0x14333ca70	48	-	sub_1400727A0	other	-
0x14333cb70	-	-	sub_140CDD810	other	-
0x14333cb78	-	-	sub_140CDD810	other	-
0x14333cb7c	-	-	sub_140CDD810	other	-
0x14333cb88	-	-	sub_140CDD810	other	-
0x14333cba0	-	-	sub_140CDD810	other	-
0x14333cbd8	-	-	sub_140CE9EA0	other	-
0x14333cbe0	-	-	sub_140CE9EA0	other	-
0x14333cc08	-	-	sub_140CF6990	other	-
0x14333cc10	-	-	sub_140CF6990	other	-
0x14333cc20	-	-	sub_140CF6990	other	-
0x14333cc28	-	-	sub_140CF6990	other	-
0x14333cfb8	288	sub_140DFCD30	sub_140E13750	other	-
0x14333d1a8	48	-	sub_1400733D0	other	-
0x14333d320	-	-	sub_140F00EB0	other	-
0x14333d390	-	-	sub_140F00EB0	other	-
0x14333d3a0	-	-	sub_140EFCA60	other	-
0x14333d3a8	-	-	sub_140EFCA60	other	-
0x14333d3d4	-	-	sub_140F05D80	other	-
0x14333d3d8	-	-	sub_140F05D80	other	-
0x14333d3e0	-	sub_140F09130	sub_140F09130	other	self-register
0x14333d558	56	-	sub_140073840	other	-
0x14333d590	-	-	sub_140F62BC0	other	-
0x14333d5c0	-	-	sub_140F6E0D0	other	-
0x14333d5cc	-	-	sub_140F6ECA0	other	-
0x14333d5d4	-	-	sub_140F6F440	other	-
0x14333d5dc	-	-	sub_140F70AD0	other	-
0x14333d5e0	-	-	sub_140F70B20	other	-
0x14333d5e8	-	-	sub_140F714C0	other	-
0x14333d5f0	-	-	sub_140F71CF0	other	-
0x14333d808	112	-	sub_141008C30	other	-
0x14333d848	32	-	sub_1400741A0	other	-
0x14333d868	32	-	sub_140074110	other	-
0x14333da08	-	-	sub_141086E60	other	-
0x14333dd68	-	-	sub_1411B3320	other	-
0x14333ded0	-	-	sub_1412809B0	other	-
0x14333dee0	-	-	sub_14127F4F0	other	-
0x14333dee8	-	-	sub_14127F4F0	other	-
0x14333deec	-	-	sub_14127F4F0	other	-
0x14333df00	-	-	sub_14127F4F0	other	-
0x14333df08	-	-	sub_14127F4F0	other	-
0x14333df0c	-	-	sub_14127F4F0	other	-
